ID,cluster_ID
1,56
2,17
3,56
4,-1
5,121
6,-1
7,-1
8,-1
9,148
10,-1
11,-1
12,40
13,40
14,-1
15,15
16,-1
17,-1
18,131
19,-1
20,142
21,-1
22,142
23,-1
24,-1
25,-1
26,-1
27,30
28,-1
29,-1
30,-1
31,-1
32,-1
33,48
34,-1
35,16
36,-1
37,-1
38,95
39,-1
40,142
41,145
42,94
43,21
44,-1
45,-1
46,-1
47,21
48,-1
49,-1
50,18
51,-1
52,-1
53,121
54,-1
55,-1
56,18
57,18
58,29
59,30
60,-1
61,29
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,128
70,142
71,-1
72,-1
73,42
74,42
75,-1
76,-1
77,42
78,123
79,142
80,-1
81,42
82,42
83,48
84,-1
85,-1
86,-1
87,17
88,-1
89,113
90,-1
91,-1
92,-1
93,-1
94,145
95,35
96,35
97,35
98,-1
99,-1
100,-1
101,-1
102,148
103,34
104,-1
105,-1
106,-1
107,-1
108,142
109,-1
110,0
111,-1
112,-1
113,-1
114,-1
115,-1
116,-1
117,-1
118,111
119,142
120,17
121,-1
122,-1
123,17
124,-1
125,120
126,-1
127,-1
128,-1
129,31
130,-1
131,-1
132,100
133,-1
134,-1
135,7
136,-1
137,-1
138,148
139,3
140,-1
141,8
142,-1
143,4
144,-1
145,6
146,52
147,-1
148,-1
149,142
150,-1
151,5
152,125
153,-1
154,142
155,10
156,-1
157,-1
158,-1
159,9
160,146
161,-1
162,-1
163,9
164,100
165,-1
166,-1
167,-1
168,-1
169,-1
170,119
171,-1
172,-1
173,-1
174,-1
175,-1
176,42
177,-1
178,-1
179,-1
180,-1
181,146
182,-1
183,-1
184,0
185,-1
186,-1
187,-1
188,-1
189,-1
190,-1
191,-1
192,-1
193,1
194,-1
195,1
196,1
197,34
198,32
199,-1
200,-1
201,34
202,-1
203,55
204,94
205,-1
206,34
207,-1
208,-1
209,-1
210,34
211,-1
212,-1
213,-1
214,-1
215,52
216,32
217,-1
218,-1
219,125
220,-1
221,143
222,-1
223,-1
224,-1
225,-1
226,-1
227,-1
228,32
229,-1
230,-1
231,-1
232,-1
233,-1
234,-1
235,-1
236,-1
237,-1
238,-1
239,-1
240,-1
241,32
242,14
243,148
244,-1
245,-1
246,-1
247,-1
248,-1
249,-1
250,87
251,53
252,-1
253,134
254,39
255,-1
256,126
257,128
258,-1
259,-1
260,-1
261,39
262,39
263,39
264,-1
265,39
266,-1
267,-1
268,39
269,-1
270,-1
271,-1
272,126
273,39
274,121
275,39
276,-1
277,16
278,143
279,39
280,-1
281,16
282,121
283,-1
284,-1
285,16
286,150
287,-1
288,148
289,39
290,-1
291,39
292,-1
293,-1
294,-1
295,-1
296,-1
297,-1
298,-1
299,-1
300,-1
301,-1
302,-1
303,-1
304,85
305,-1
