ID,cluster_ID
ParlaMint-GB_2022-01-05-commons.u286,-1
ParlaMint-GB_2015-01-20-commons.u95,-1
ParlaMint-GB_2017-06-22-commons.u83,-1
ParlaMint-GB_2020-02-04-commons.u387,26
ParlaMint-GB_2018-03-27-commons.u439,26
ParlaMint-GB_2016-12-05-commons.u150,26
ParlaMint-GB_2016-12-13-commons.u336,-1
ParlaMint-GB_2015-01-16-commons.u86,26
ParlaMint-GB_2019-03-12-commons.u330,26
ParlaMint-GB_2019-07-02-commons.u229,-1
ParlaMint-GB_2021-07-15-commons.u190,26
ParlaMint-GB_2015-03-16-commons.u5,-1
ParlaMint-GB_2018-01-30-commons.u400,26
ParlaMint-GB_2019-10-29-commons.u782,26
ParlaMint-GB_2017-04-25-commons.u65,5
ParlaMint-GB_2018-01-11-commons.u407,26
ParlaMint-GB_2021-02-04-commons.u11,26
ParlaMint-GB_2020-02-10-commons.u4,26
ParlaMint-GB_2021-02-10-commons.u29,26
ParlaMint-GB_2020-10-14-commons.u29,26
ParlaMint-GB_2022-03-28-commons.u11,26
ParlaMint-GB_2019-10-31-commons.u230,26
ParlaMint-GB_2016-12-19-commons.u142,11
ParlaMint-GB_2017-11-15-commons.u231,-1
ParlaMint-GB_2018-12-05-commons.u14,26
ParlaMint-GB_2019-05-23-commons.u124,26
ParlaMint-GB_2016-10-19-commons.u362,26
ParlaMint-GB_2015-11-16-commons.u533,-1
ParlaMint-GB_2018-10-24-commons.u258,26
ParlaMint-GB_2021-09-23-commons.u80,-1
ParlaMint-GB_2018-11-15-commons.u103,-1
ParlaMint-GB_2017-02-08-commons.u90,26
ParlaMint-GB_2018-07-12-commons.u473,26
ParlaMint-GB_2022-03-01-commons.u184,26
ParlaMint-GB_2016-02-02-commons.u233,26
ParlaMint-GB_2016-10-13-commons.u20,-1
ParlaMint-GB_2021-02-23-commons.u175,-1
ParlaMint-GB_2021-06-22-commons.u156,-1
ParlaMint-GB_2021-08-18-commons.u260,26
ParlaMint-GB_2021-11-29-commons.u380,26
ParlaMint-GB_2015-06-23-commons.u261,-1
ParlaMint-GB_2018-10-30-commons.u148,-1
ParlaMint-GB_2017-10-12-commons.u241,26
ParlaMint-GB_2021-09-10-commons.u71,26
ParlaMint-GB_2022-03-08-commons.u291,-1
ParlaMint-GB_2018-03-13-commons.u17,26
ParlaMint-GB_2017-07-03-commons.u332,-1
ParlaMint-GB_2020-01-20-commons.u17,26
ParlaMint-GB_2017-03-30-commons.u437,26
ParlaMint-GB_2015-07-21-commons.u65,-1
ParlaMint-GB_2018-12-17-commons.u107,-1
ParlaMint-GB_2020-07-09-commons.u103,-1
ParlaMint-GB_2017-04-18-commons.u209,27
ParlaMint-GB_2019-09-26-commons.u199,26
ParlaMint-GB_2015-09-10-commons.u35,26
ParlaMint-GB_2021-10-20-commons.u149,-1
ParlaMint-GB_2021-06-22-commons.u15,-1
ParlaMint-GB_2018-05-23-commons.u316,0
