topic,keywords,tc.CON,tc.LAB,tc.SNP,tc.OTHER,pf.CON,pf.LAB,pf.SNP,pf.OTHER,s.CON,s.LAB,s.SNP,s.OTHER
0,"['animal', 'standards', 'climate', 'carbon', 'agriculture', 'products', 'targets', 'waste', 'new', 'health']",57.2,24.4,10.2,8.2,11.7,15.3,10.0,14.2,0.25,-0.26,-0.21,-0.18
1,"['referendum', 'speech', 'people', 'constituents', 'hon', 'deal', 'years', 'friend', 'prime', 'right']",57.9,29.9,5.6,6.7,11.1,17.6,5.1,10.7,0.1,-0.08,-0.17,-0.2
2,"['protocol', 'border', 'belfast', 'friday', 'agreement', 'good', 'kingdom', 'checks', 'gb', 'businesses']",55.4,15.4,5.5,23.8,11.1,9.4,5.3,39.8,0.14,-0.28,-0.28,-0.26
3,"['scottish', 'snp', 'devolution', 'parliament', 'voted', 'prime', 'remain', 'gentleman', '2014', 'consent']",39.6,5.9,51.4,3.0,7.5,3.4,46.7,4.8,0.02,-0.28,-0.25,-0.11
4,"['trade', 'free', 'exports', 'australia', 'agreement', 'wto', 'japanese', 'global', 'union', 'friend']",75.3,17.8,4.2,2.7,18.6,13.5,5.0,5.5,0.24,-0.29,-0.41,-0.09
5,"['withdrawal', 'read', 'presentation', 'house', '57', 'agreement', 'standing', 'march', 'amendment', 'christopher']",65.5,25.2,6.0,3.3,12.2,14.4,5.4,5.1,-0.01,-0.2,-0.32,-0.24
6,"['scheme', 'windrush', 'citizenship', 'settlement', 'stay', 'application', 'family', 'uk', 'deadline', 'reassurance']",57.6,21.6,15.0,5.8,8.3,9.6,10.4,6.9,0.24,-0.31,-0.34,-0.31
7,"['refugees', 'children', 'resettlement', 'unaccompanied', 'migration', 'dublin', 'mediterranean', 'safe', 'traffickers', 'home']",63.0,20.6,11.0,5.4,6.0,6.0,5.1,4.3,0.05,-0.35,-0.25,-0.33
8,"['clause', 'legislation', 'powers', 'page', 'exit', 'subsection', 'insert', 'schedule', 'learned', 'affirmative']",68.0,22.1,6.0,4.0,8.4,8.3,3.5,4.1,-0.01,-0.16,-0.21,-0.32
9,"['cfp', 'stocks', 'quota', 'communities', 'policy', 'fishery', 'sustainable', 'access', 'scottish', 'inshore']",71.3,10.7,10.4,7.6,5.0,2.3,3.5,4.5,0.15,-0.14,-0.41,-0.21
