topic,CON,LAB,OTHER,SNP,keywords
0,17.2,15.0,46.6,6.3,"['belfast', 'friday', 'gb', 'executive', 'customs', 'solution', 'consent', 'stormont', 'integrity', 'hard']"
1,17.5,18.2,9.1,14.3,"['immigration', 'nationals', 'windrush', 'scheme', 'rights', 'application', 'family', 'live', 'settlement', 'residence']"
2,11.6,5.2,4.7,52.4,"['devolution', 'parliament', 'voted', 'grab', 'consent', 'holyrood', 'administrations', 'scots', 'remain', 'frameworks']"
3,11.8,9.7,9.3,6.4,"['welfare', 'standards', 'labelling', 'chemicals', 'sentience', 'payments', 'produce', 'feed', 'ivory', 'livestock']"
4,6.4,10.9,9.8,4.1,"['welsh', 'funding', 'structural', 'shared', 'levelling', 'devolved', 'regions', 'barnett', 'hs2', 'penny']"
5,5.2,13.0,5.8,3.0,"['climate', 'emissions', 'targets', 'paris', 'renewable', 'zero', 'clean', 'vehicles', 'fossil', 'plastics']"
6,10.7,8.7,3.7,3.8,"['legislation', '1972', 'clause', 'exit', 'powers', 'instrument', 'page', 'insert', 'affirmative', 'secondary']"
7,5.5,7.8,4.4,2.6,"['maiden', 'speeches', 'constituents', 'members', 'proud', 'sir', 'predecessor', 'east', 'mp', 'years']"
8,5.1,7.2,2.8,5.7,"['universities', 'horizon', 'higher', 'pupils', 'europa', 'collaboration', 'scientific', 'excellence', 'fees', '2020']"
9,8.8,4.3,3.9,1.6,"['referendum', 'hon', 'negotiations', 'learned', 'union', 'interruption', 'leave', 'european', 'cdc', 'does']"
