topic,keywords,tc.Fidesz-KDNP,tc.Opposition,tc.OTHER,pf.Fidesz-KDNP,pf.Opposition,pf.OTHER,s.Fidesz-KDNP,s.Opposition,s.OTHER
0,"['2030', 'hulladék', 'villamos', 'gázok', 'megújulóenergia', 'nukleáris', 'rezsicsökkentés', 'ig', 'lakossági', 'éghajlatváltozás']",55.0,9.6,35.4,13.7,9.5,13.7,0.02,-0.44,-0.49
1,"['milliárd', 'költségvetés', 'uniós', 'növekedés', '2010', 'családok', 'vállalkozások', 'magyarország', 'tisztelt', 'jövő']",58.2,8.0,33.8,18.0,9.9,16.3,-0.0,-0.44,-0.45
2,"['elektronikus', 'javaslat', 'szabályozás', 'pénzügyi', 'uniós', 'jogi', 'tisztelt', 'közbeszerzési', 'adatok', 'egységes']",69.0,13.9,17.1,15.6,12.5,6.0,0.26,-0.15,-0.07
3,"['gondolom', 'közbeszerzési', 'szeretném', 'törvényjavaslat', 'ellenzéki', 'államtitkár', 'tudom', 'fog', 'vita', 'országgyűlés']",29.9,20.5,49.7,6.8,18.6,17.7,-0.1,-0.37,-0.36
4,"['dr', 'tudom', 'jobbik', 'mszp', 'ellenzéki', 'magyar', 'miniszterelnök', 'milliárd', 'tisztelt', 'fidesz']",51.5,12.8,35.7,9.2,9.1,9.9,-0.55,-0.55,-0.66
5,"['gmo', 'élelmiszerlánc', 'biológiai', 'sokféleség', 'mezőgazdaság', 'családi', 'gondolom', 'rendszer', 'jogszabály', 'uniós']",52.7,7.5,39.9,7.0,4.0,8.3,-0.03,-0.34,-0.5
6,"['köztársaság', 'horvátország', 'kereskedelmi', 'nemzetközi', 'észak', 'beruházásvédelmi', 'megállapodáshoz', 'európai', 'eu', 'jegyzőkönyvet']",59.7,19.5,20.8,10.4,13.5,5.6,0.34,0.28,0.17
7,"['viktor', 'fideszes', 'miniszterelnök', 'emberek', 'dr', 'jobbik', 'taps', 'soraiban', 'ellenzék', 'magyarok']",43.6,14.6,41.7,6.7,8.9,9.9,-0.35,-0.47,-0.52
8,"['baloldal', 'vakcinát', 'veszélyhelyzet', 'tisztelt', 'kínai', 'kormány', 'betegek', 'magyarország', 'dolgozók', 'milliárd']",67.4,7.9,24.7,6.9,3.2,3.9,-0.33,-0.6,-0.45
9,"['magyar', 'kérdés', 'politikai', 'uniós', 'fidesz', 'szeretném', 'szabadkereskedelmi', 'lisszaboni', 'törvényjavaslat', 'képviselőtársaim']",41.1,19.5,39.4,5.7,10.8,8.5,-0.07,-0.31,-0.33
