topic,Fidesz-KDNP,OTHER,Opposition,keywords
0,31.8,46.4,38.8,"['ellenzéki', 'tudom', 'képviselőtársam', 'politikai', 'szeretném', 'jobbik', 'dr', 'egyszer', 'fog', 'törvény']"
1,21.8,12.7,18.3,"['törvényjavaslat', 'bíróság', 'megállapodás', 'tagállamok', 'eljárás', 'jogi', 'közbeszerzési', 'beruházásvédelmi', 'tanácsi', 'európai']"
2,10.7,14.0,10.8,"['viktor', 'dr', 'miniszterelnök', 'fideszes', 'ellenzék', 'emberek', 'soraiban', 'magyarok', 'taps', 'jobbik']"
3,7.4,7.6,9.4,"['gdp', 'milliárd', 'növekedés', 'államadósság', 'gazdasági', 'jövő', 'költségvetésről', 'infláció', '2016', 'válság']"
4,9.0,3.6,2.2,"['koronavírus', 'vakcinát', 'oltási', 'kínai', 'egészségügyi', 'baloldal', 'védekezés', '2021', 'orosz', 'who']"
5,2.6,4.8,8.7,"['minimálbér', 'nők', 'férfiak', 'szakképzési', 'egyenlő', 'ksh', 'magyarországon', 'szociális', 'vasárnap', 'szegények']"
6,4.1,3.4,0.7,"['állatok', 'élelmiszer', 'családi', 'inváziós', 'ökológiai', 'gazdaságok', 'földbizottságok', 'vidéki', 'agrárpolitika', 'mvh']"
7,4.5,2.6,0.7,"['ttip', 'királyság', 'brexit', 'kilépés', 'konzultáció', 'hölgyeim', 'miniszterelnök', 'magyarok', 'uniós', 'nemzeti']"
8,4.6,2.6,6.5,"['megállapodáshoz', 'tunézia', 'írták', 'koreai', 'kereskedelmi', 'észak', 'euromediterrán', 'tagállamaik', 'horvátországnak', 'stabilizációs']"
9,3.3,2.3,3.9,"['minimálbér', 'szociális', 'vásárlóerő', 'növekedett', 'brenner', '2017', 'garantált', 'koloman', 'munkanélküliség', 'munka']"
