topic,keywords,tc.SDS,tc.SD,tc.OTHER,pf.SDS,pf.SD,pf.OTHER,s.SDS,s.SD,s.OTHER
0,"['mislim', 'minister', 'vlade', 'imamo', 'zakon', 'gospod', 'sedaj', 'strani', 'način', 'bolj']",27.6,12.2,60.2,23.5,20.2,19.9,-0.52,-0.45,-0.42
1,"['bank', 'slovenije', 'sistema', 'guvernerja', 'evrov', 'republike', 'odgovornost', 'nlb', 'lahko', 'sanacije']",28.4,12.8,58.8,16.3,14.4,13.1,-0.35,-0.25,-0.22
2,"['virov', 'obnovljivih', 'prostor', 'plastičnih', '2000', 'voda', 'plinov', 'direktive', 'vplivov', 'hvala']",19.7,12.6,67.8,9.1,11.4,12.2,-0.1,-0.18,-0.12
3,"['prometu', 'varnosti', 'železnice', 'infrastrukturo', 'avtocest', 'predlog', 'voznikov', 'direktive', 'sistem', 'slovenske']",27.0,13.0,60.0,11.0,10.4,9.5,-0.21,-0.03,0.02
4,"['deklaracije', 'predsedovanja', 'unija', 'republike', 'svetu', 'vlade', 'evrope', 'danes', 'slovenijo', 'lahko']",22.4,10.4,67.2,9.4,8.5,11.0,-0.15,-0.01,-0.09
5,"['vrednost', 'davkov', 'zakona', 'storitve', 'računov', 'evrov', 'obdavčitve', 'elektronskega', 'predlog', 'hvala']",19.3,15.4,65.3,6.9,10.8,9.1,-0.04,0.02,0.08
6,"['rast', 'milijonov', 'slovenija', 'evrov', 'bdp', '2007', 'projekti', 'lahko', 'kohezijske', 'proračun']",25.4,12.1,62.5,7.8,7.3,7.5,-0.21,-0.1,-0.22
7,"['kazenskem', 'kaznivih', 'zakon', 'hvala', 'potem', 'odškodnine', 'evropske', 'dejanja', 'žrtev', 'predlog']",20.9,11.3,67.8,5.7,6.0,7.2,-0.45,-0.27,-0.32
8,"['milijonov', 'evrov', 'rast', 'rebalans', 'sektorja', '2022', 'bdp', 'proračunov', 'investicije', 'javnih']",25.6,14.9,59.5,6.5,7.4,5.9,-0.5,-0.29,-0.21
9,"['živali', 'spremenjenih', 'organizmov', 'prehrano', 'fitofarmacevtskih', 'podeželja', 'lesa', 'gozdov', 'zakona', 'proizvodov']",21.1,10.5,68.4,3.7,3.6,4.6,-0.17,0.01,-0.09
