topic,OTHER,SD,SDS,keywords
0,21.6,22.8,26.5,"['sem', 'potem', 'bom', 'tem', 'samo', 'mislim', 'danes', 'lahko', 'so', 'minister']"
1,17.6,20.0,19.2,"['slovenije', 'centralne', 'sistema', 'guvernerja', 'bančništvu', 'vrednostnih', 'papirjev', 'upravljanje', 'zakona', 'hvala']"
2,12.8,12.0,11.3,"['unije', 'slovenija', 'evropski', 'deklaracije', 'bo', 'republike', 'predsedovanja', 'bomo', 'tem', 'svetu']"
3,9.8,11.4,11.7,"['prometu', 'železniškem', 'infrastrukture', 'varnosti', 'zakona', 'avtocest', 'voznikov', 'predlog', 'prevoza', 'slovenske']"
4,7.4,6.7,7.7,"['zdravil', 'dejavnosti', 'zdravnikov', 'ministrica', 'zdravstva', 'zakona', 'lekarne', 'tobačnih', 'zavodov', 'so']"
5,9.0,8.0,5.7,"['evropske', 'direktive', 'bomo', 'sloveniji', 'unije', 'hvala', 'tem', 'vlada', 'bo', 'pravice']"
6,8.1,6.1,5.6,"['2000', 'voda', 'prostor', 'vplivov', 'pitne', 'dovoljenja', 'terminalov', 'plinov', 'okoljske', 'direktive']"
7,5.5,5.3,4.7,"['vrednost', 'stopnje', 'davkov', 'obdavčitve', 'prihodkov', 'pravnih', 'evrov', 'olajšave', 'storitve', 'publikacije']"
8,4.3,3.0,3.7,"['kmetijstvo', 'fitofarmacevtskih', 'podeželja', 'prehrano', 'gozdov', 'organizmi', 'proizvodov', 'biocidnih', 'lesa', 'spremenjenimi']"
9,3.8,4.8,4.0,"['virov', 'rabe', 'energentov', 'stavb', 'toplote', 'cene', 'učinkovitosti', 'oskrbe', 'zakona', 'zemeljskega']"
