topic,keywords,tc.фБПП.фЄС.фУДАР,tc.фОПЗЖ.фОпоблок.фПР,tc.OTHER,pf.фБПП.фЄС.фУДАР,pf.фОПЗЖ.фОпоблок.фПР,pf.OTHER,s.фБПП.фЄС.фУДАР,s.фОПЗЖ.фОпоблок.фПР,s.OTHER
0,"['мовами', 'меншини', 'українською', 'рідною', 'офіційними', 'спілкування', 'угорської', 'освіти', 'слайд', 'національні']",17.3,44.0,38.7,10.3,47.5,9.8,-0.34,-0.55,-0.13
1,"['міністра', 'генерального', 'прокурора', 'київської', 'голови', 'міста', 'акціонерного', 'юрія', 'корів', 'академії']",16.7,13.6,69.7,8.7,12.9,15.5,-0.46,-0.61,-0.45
2,"['фондовому', 'енергоатома', 'хворих', 'алкогольної', 'волонтерські', 'рослин', 'експортного', 'експерименту', '2538', 'бакуменка']",24.1,10.3,65.5,8.3,6.5,9.6,-0.1,-0.3,-0.15
3,"['внутрішньодержавні', 'узгоджується', 'ратифікацію', 'кабінетом', 'співробітництва', 'рекомендувати', 'виходили', 'науково', 'інтеграції', 'протоколу']",45.5,1.1,53.4,15.9,0.7,7.9,0.47,0.66,0.21
4,"['колективного', 'акредитації', 'директиви', '5376', 'волонтерства', 'скасування', 'статистичних', 'попередженні', 'євростату', 'абзацом']",43.8,3.3,52.9,21.0,2.9,10.8,-0.06,0.36,0.02
5,"['бездомних', 'шахтарів', 'тварин', 'зарплату', 'португалії', 'титано', 'протестів', 'міграції', 'стерилізації', 'комуністів']",14.8,13.0,72.2,3.2,5.0,6.6,-0.49,-0.62,-0.65
6,"['членство', 'надію', 'україна', 'німців', 'епоха', 'безвізового', 'патріотизму', 'відновлення', 'жити', 'формулу']",21.5,2.8,75.7,9.1,2.2,13.7,-0.17,-0.42,-0.13
7,"['волі', 'аліментів', 'засуджених', 'тримання', 'оскаржити', 'довічно', 'колегії', 'раймондо', 'реабілітованими', 'суді']",33.3,7.1,59.5,11.1,4.3,8.4,-0.38,-0.2,-0.48
8,"['євроінтеграції', 'сконцентрованим', 'загроженими', 'економіках', '3378', 'римського', 'papers', 'суддям', 'дякуємо', 'гендерний']",39.7,13.8,46.6,9.1,5.8,4.6,-0.3,-0.31,-0.29
9,"['кубів', 'контракт', 'газотранспортна', 'комуналку', 'потоку', 'ціна', 'підвищення', 'фірташа', 'електропередач', 'північний']",7.8,16.5,75.7,3.2,12.2,13.2,-0.01,-0.64,-0.6
