topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР,keywords
0,29.3,20.1,23.5,"['гектарів', 'земля', 'продуктів', 'продаж', 'органічної', 'маркування', 'господарств', 'обігу', 'фермер', 'насіння']"
1,8.8,8.1,37.2,"['мовами', 'меншини', 'українською', 'рідною', 'офіційними', 'спілкування', 'угорської', 'освіти', 'слайд', 'національні']"
2,9.3,13.0,1.1,"['співробітництва', 'узгоджується', 'внутрішньодержавні', 'ратифікацію', 'рекомендувати', 'науково', 'інтеграції', 'виходили', 'транскордонного', 'засіданні']"
3,10.5,13.6,4.4,"['лібералізації', 'євроінтеграції', 'плану', 'директиви', 'страхування', 'другого', 'візового', 'адаптація', 'законопроекту', 'працевлаштування']"
4,6.1,3.2,4.4,"['шахтарів', 'тварин', 'бездомних', 'катастрофи', 'украина', 'зарплату', 'титано', 'именно', 'протестів', 'капіталізація']"
5,10.3,17.2,2.2,"['колективного', 'акредитації', 'директиви', '5376', 'волонтерства', 'скасування', 'статистичних', 'попередженні', 'язнення', 'абзацом']"
6,7.1,4.2,8.2,"['квоти', '38', 'тонн', 'експортні', 'расширение', 'економіки', 'падіння', 'купуй', 'пшениці', 'металургія']"
7,8.7,9.1,2.7,"['волі', 'аліментів', 'засуджених', 'оскаржити', 'суді', 'колегії', 'довічно', 'затримання', 'реабілітованими', 'раймондо']"
8,5.8,7.5,12.6,"['коаліції', 'шевченко', 'відставку', 'регіоналами', 'блок', 'електроенергію', 'невдоволення', 'солодкі', 'президенти', 'знаєте']"
9,4.1,3.9,3.8,"['экономического', 'мужності', 'візового', '7662', 'візію', 'коммунисты', 'украины', 'саміту', 'членство', 'відставка']"
