topic,CON,LAB,OTHER,SNP,keywords
0,28.9,23.1,24.0,23.1,"['gap', 'women', 'tax', 'childcare', 'equal', 'reporting', 'year', 'labour', 'hon', 'flexible']"
1,13.8,13.9,7.5,19.0,"['commonwealth', 'human', 'hon', 'debate', 'lgbtq', 'conversion', 'progress', 'asylum', 'right', 'hate']"
2,13.1,11.4,10.3,13.0,"['transgender', 'recognition', 'hiv', 'prisoners', '2004', 'issues', 'hon', 'london', 'friend', 'equality']"
3,7.7,10.1,7.5,6.0,"['member', 'armed', 'constituency', 'jo', 'building', 'years', 'speaker', 'said', 'south', 'debate']"
4,9.0,7.7,11.6,7.0,"['amendment', 'subsection', 'clause', 'page', 'insert', 'women', 'based', 'rape', 'act', 'leave']"
5,8.7,8.1,6.8,10.1,"['woman', 'international', 'equality', 'hon', 'celebrate', 'friend', 'today', 'just', 'violence', 'mps']"
6,6.0,8.8,6.2,10.8,"['tax', 'development', 'billion', 'chancellor', 'climate', 'brexit', 'people', 'deal', 'aid', 'international']"
7,6.1,7.7,6.8,2.6,"['relationships', 'curriculum', 'pupils', 'bullying', 'ofsted', 'pshe', 'primary', 'sre', 'views', 'free']"
8,3.3,4.7,4.1,3.6,"['hate', 'attacks', 'homophobic', 'orlando', 'proscription', 'isil', 'proscribed', 'crimes', 'intelligence', 'organisations']"
9,3.5,4.6,15.1,4.8,"['ireland', 'merchant', 'navy', 'forces', 'statute', 'lgbt', 'lyra', 'sections', 'robson', '147']"
