topic,CON,LAB,LAB;I,OTHER,SNP
0,0.30370090718854936,-0.18212309306040234,-0.91650390625,-0.16422044185169957,-0.144130859375
1,0.18438169391753395,-0.13681358221879938,0.0,-0.13006232766544118,-0.17339811220273868
2,0.23102081601864824,-0.13433819725399926,0.0,-0.4795464409722222,-0.09983194285425646
3,0.39279116806409037,0.3188548977092161,0.0,0.44273792613636365,0.46693933927095854
4,0.08150568316059728,-0.3142732994578709,0.0,-0.30848948160807294,-0.18945798006924716
5,-0.04104744304310192,-0.25787010192871096,0.0,-0.27436266447368424,-0.0034210987580128205
6,0.2748101552327474,-0.294212646484375,0.0,0.8974609375,-0.10313924153645833
7,0.02070916867723652,-0.3056135506465517,0.0,-0.7473958333333334,-0.2628580729166667
8,0.21346507352941177,-0.021153411865234374,0.0,-0.03397409539473684,0.34026031494140624
9,-0.13760243291440216,-0.25017233455882354,0.0,-0.28711373465401785,-0.4126078287760417
