topic,speech_id,party,sentiment,speech_date,prob,speech
0,ParlaMint-GB_2020-04-29-commons.u15,CON,1.0,2020-04-29,0.9894489645957947,"Our response to covid-19, including on vaccines, treatments and testing, is a great example of joint working between DFID and the FCO, as well as with Department of Health and Social Care and Department for Business, Energy and Industrial Strategy experts. We are able to combine our world-class diplomatic network with DFID’s global leadership on development. We are proud of the UK’s close partnership with the Bill and Melinda Gates Foundation, including on the Wellcome therapeutics accelerator initiative, to which we committed up to £40 million with the aim of bringing 100 million courses of covid-19 treatment to those who will need it the most in 2020."
0,ParlaMint-GB_2020-12-02-commons.u36,CON,1.0,2020-12-02,0.004537187982350588,"The Government and the devolved Administrations continue to work closely together to ensure a co-ordinated approach across the United Kingdom. As set out in our joint statement of 25 September, the UK Government and the devolved Administrations hold a “shared commitment to suppressing the virus to the lowest possible level and keeping it there” Today’s news about a vaccine will be welcomed across every part of the United Kingdom. I was pleased we could agree a united approach to Christmas planning last week. Although each devolved Administration control their public health policy, we have been co-ordinating positively on our response to covid throughout the year."
0,ParlaMint-GB_2020-04-28-commons.u116,CON,1.0,2020-04-28,0.10754329711198807,"With your permission, Mr Speaker, I will make a statement on the work the Government have undertaken over recent weeks to support and steer our critical public services through the coronavirus pandemic. First, I thank all those on the frontline of our public services for the spirit of selflessness and commitment to others that they have demonstrated in dealing with this pandemic—nurses, doctors, porters, cleaners, paramedics, pharmacists, care home staff, prison and police officers, teachers, social workers and those preparing and delivering food, collecting our refuse and administering the welfare system. They deserve our gratitude; they need our support. They are in all our minds. They are the very best of us. I am sure that everyone in the House observed that one-minute silence at 11 o’clock today, as we reflected on the sacrifices being made by so many on our behalf This pandemic has claimed more than 20,000 lives and has left every community across the country grieving. Our thoughts and prayers are with all those who have suffered loss, in the humble knowledge that every life is precious. As the Prime Minister said on his welcome return to work yesterday, we are dealing with “the biggest single challenge this country has faced since the war” Like him, I thank the British people for their forbearance and solidarity as we have all had to abide by the guidance on social distancing, which restricts cherished liberties but protects precious lives The challenges that the pandemic confronts us with require an unprecedented response from Government. For that reason, as the House will know, on 17 March, we established four ministerial implementation groups to lead the Government’s response to this pandemic. The Health Secretary chairs one group, co-ordinating work on the NHS and social care; the Chancellor chairs the group considering how to support business and the economy; and the Foreign Secretary chairs the group co-ordinating our international response. I chair the general public sector group, which looks at how we support the delivery of public services beyond the NHS and social care, working with colleagues from across the UK Government and Ministers from the Scottish Government, Welsh Government and Northern Ireland Executive. I am very grateful to colleagues from the devolved Administrations for their participation and their constructive contributions to all our discussions. Those discussions have helped us to understand how the virus has affected every part of our United Kingdom, enabling us to take action that meets the needs of people across all our nations The ministerial implementation group has now met 30 times, and we have considered the impact of the pandemic on: schools and children’s services; the police; the Prison and Probation Service; the courts; the food supply chain; the welfare system; charities; and support for the most vulnerable. With my colleague the Environment Secretary, we have been working to address the shortfall in the agricultural workforce, in order to protect our domestic food supply, working closely with the industry to launch the “Pick for Britain” campaign. Working with the Education Secretary, we have established the free school meal voucher scheme, to make sure that children who need it can continue to access food, despite school closures. That scheme has seen 15,500 schools place orders for vouchers, of which £29 million has been redeemed. We were able to ensure that more than 60% of schools were open every day over the Easter holidays to provide places for the children of critical workers and vulnerable children. In addition, we have launched the Oak National Academy, providing 180 video lessons each week. We have committed £100 million to ensure that remote education is accessible for all, including by providing laptops, tablets and routers to disadvantaged children. Since the end of March, 90% of rough sleepers known to councils have been made an offer of accommodation, ensuring that some of the most vulnerable people in our society can stay safe during this pandemic Of course, we recognise that this is not just a national crisis; it is also a local one, in communities across the country. We have deployed dedicated military planning support to every local resilience forum. There are 156 military planners embedded across the country, helping the LRFs to co-ordinate and protect local services and supplies, with additional support from senior Whitehall officials and named resilience advisers in regional knowledge hubs. Of course, this crisis has put existing services under huge strain. To bolster them, we have worked with the Ministry of Defence to mobilise a covid support force of 19,060 strong, of whom 2,948 personnel are now committed, supporting a total of 79 military assistants to the civil authority tasks nationwide Our police have been working hard to keep people safe, while enforcing the new measures the Prime Minister put in place just over a month ago. They have issued 3,203 fines between 27 March and 13 April to those who have flouted social distancing rules, and this number will have increased considerably since then—this is all dedicated to helping to save lives and protect the NHS. We have tested more than 150,000 key workers and their families for coronavirus, allowing those who do not have it to go back to work and protecting those who do have it. We have also made sure that the civil service and the wider public sector are resourced to operate under the considerable new pressures imposed by this virus. We have worked to fill about 1,300 covid-19 roles through civil service redeployments, with more than 400 civil servants now moving to the Department of Health and Social Care We also recognise that there are people who have developed new needs as a result of coronavirus, as well as individuals whose pre-existing needs are now more acute or more complex. The Government are undertaking a programme of work to support those who have not been identified as shielded but who are still vulnerable. We know that many local community organisations have stepped forward to help their friends and neighbours at this time. The Government want to support that activity, and we welcome the important role that volunteers, charities and local authorities are playing throughout this crisis. More than 750,000 people have signed up to the NHS volunteer responders programme, and more than 600,000 have had their ID verified, to start helping with tasks such as collecting shopping, providing telephone support, transporting patients and helping with supplies for the NHS. To support this effort, and to make sure that people know where to turn, we have been working to signpost people to existing and available support, whether local, national or voluntary, through the website address www.gov.uk/find-coronavirus-support. This service has supported more than 35,000 people since its launch on 10 April. In addition, we are working with supermarkets to ensure that a greater number of online delivery slots are made available explicitly to those most in need. We have also been working to understand and identify where there are gaps in provision, and what government, working with local and voluntary partners, can do to address that. A notable example of that is the Home Office’s announcement of an initial £2 million of funding to immediately bolster domestic abuse helplines and online support for those at risk There will, of course, be further challenges ahead, and I do not shirk from acknowledging that we as a Government will not have got every judgment right. Indeed, many people, including the hon. Member for Leeds West (Rachel Reeves) have asked fair questions about the Government’s response in a constructive spirit. I and my colleagues will do our best at all times to respond to those questions and challenges, because we owe it to our public sector workers to work collaboratively, and to harness all available resources in the fight against this virus. In that light, it is important to recognise just how much we all owe to the stoicism and steadfastness, hard work and heroism, compassion and commitment of those working on the front line of public service. We owe them so much, and we in Government will do everything we can to support them. It is in that spirit that I commend this statement to the House."
0,ParlaMint-GB_2020-04-22-commons.u43,CON,-0.98974609375,2020-04-22,0.6421670913696289,"In the absence of a vaccine or cure, large-scale testing and contact tracing will be essential tools in tackling coronavirus. In recent days, we have seen a Welsh Health Minister rip up his own testing targets, key people in my local health authority telling me they were not cited on the Deloitte plans for rolling out regional testing centres and there is no real evidence of contact tracers being recruited. Can my right hon. Friend tell me therefore who is actually running the test strategy in Wales—the UK Government, the Welsh Government or Deloitte? Furthermore, what assurances can he give that we have a clear plan based on the science and that that remains at the heart of everything we are doing in Wales?"
0,ParlaMint-GB_2020-11-23-commons.u150,CON,-0.990234375,2020-11-23,0.4629359841346741,"After the tremendous news about testing and the encouraging developments on vaccines, may I welcome the news that the blanket national lockdown is ending? In the spirit of a wise constituent who told me that if the Government imposes stupid rules, we will all stop obeying the sensible rules as well, may I ask my right hon. Friend that the new tiers be imposed at a local level—districts, rather than counties or regions? Restrictions that people feel are unfair to their particular community will simply not be respected or obeyed, and that itself will have a damaging effect on our long-term health."
0,ParlaMint-GB_2021-06-16-commons.u415,CON,-0.9970703125,2021-06-16,0.9916863441467285,"The trouble is that there are lots of different scientists and they do not agree with each other, yet only certain scientists seem to have an impact on the Government. Usually, it is the most doomsday of those scenarios Where is the data that shows that allowing six people inside a pub has increased infection rates, and by how much? Where is the data that shows how much faster an infection has spread because up to 30 people have been able to meet outside since the original journey out of lockdown? Where is the data showing that the NHS is being overwhelmed, not by covid patients, but by a huge increase in children and families suffering mental illness, including many worrying episodes that we have seen as constituency MPs, or by the surge in advanced cancer cases that could not be diagnosed and treated early? Where is the data showing how many businesses, particularly in the hospitality sector, cannot wait a further four weeks to be profitable and are likely now to fail, with the accompanying impact on people’s jobs, livelihoods and wellbeing? Where is the data showing the impact on the wellbeing of children now denied sports days for another year and school proms? Students are again being denied graduation ceremonies for a second year, having missed out on so much of their university experience. Where is the data on the impact of domestic abuse, which has risen so much, as we have seen? Where is the data showing the continued impact on babies? The problem is that the only data considered seems exclusively to be the worst-case scenarios about the spread of covid, regardless of the current single-figure average death rates No covid strategy is risk-free, but a further delay is by no means a victimless decision. It is time that we trusted people to live with covid just, as the Prime Minister announced in February, in the same way that we “live with flu”: we do not let flu get in the way of living our lives. The Government promised at that stage that we would move to personal responsibility. My fear is that if the Government continue to try to nanny people, they will just not take any notice and no amount of retained rules will make any difference. People are already increasingly making their own risk assessments. As somebody tweeted the other day: “I had Covid. I have antibodies. I have had both jabs. I’ve worn a mask. I’ve sanitised to within an inch of my life… But now, #ImDone no more. It's over.” My fear is that this will become a much more widely held view if the Government just keep delaying freedom day, without the evidence to back it up."
0,ParlaMint-GB_2021-12-06-commons.u272,LAB,1.0,2021-12-06,0.2916065752506256,"I thank the Secretary of State both for his kind, warm words of welcome and for advance sight of his statement. I am looking forward to our exchanges Last week I paid tribute to my right hon. Friend the Member for Leicester South (Jonathan Ashworth), and I do so again today. I also pay tribute to my hon. Friends the Members for Ellesmere Port and Neston (Justin Madders) and for Nottingham North (Alex Norris), who did a magnificent job in the shadow Health team My right hon. Friend the Member for Leicester South took a constructive approach to the Government’s response to the pandemic, and I intend to continue in the same vein. Covid-19 is still with us and, with new variants presenting significant challenges to our lives, livelihoods and liberties, the goal must be to ensure we can live with the virus through effective vaccines, treatments and common-sense public health measures. In that spirit, I welcome the Secretary of State’s announcements and join him in his call for everyone who is eligible to come forward to get the booster jab, as my right hon. and learned Friend the Leader of the Opposition did just this morning Vaccination remains the greatest tool we have in our fight against the pandemic. For the Government to achieve their overall target, they need to reach 500,000 booster vaccines a day. Labour called on the Government to set that target; I believe they have, and we support it. We desperately want the booster campaign to be successful, so can the Secretary of State today update us on when he expects to hit that target of half a million booster jabs a day? I also ask when boosters will be rolled out to under-40s, and I should probably declare my interest in that question as I do so On the wider vaccine roll-out, hon. Members across the House will have been frustrated and concerned at reports this weekend that too many hospital beds and resources are having to be diverted to those who have chosen not to receive the vaccine. With pressures on the NHS this winter expected to reach unprecedented levels even before the emergence of omicron, what is the Secretary of State’s plan to persuade the one in five people who are eligible but not yet fully vaccinated to get the jab The arguments in favour of receiving the vaccine are overwhelmingly strong. It is a safe and effective tool in our defence. What research has the Secretary of State undertaken into the reasons for vaccine hesitancy, and what steps is he taking to put in place effective reassurance measures to encourage take-up, particularly among those groups that are less likely to have taken up the vaccine and are disproportionately suffering with the virus Can the Secretary of State update the House on the reasons for the slow progress in vaccinating 12 to 15-year-olds? The initial target of offering all 12 to 15-year-olds the vaccine by October half term has been missed, with current trends suggesting some teenagers will not receive the vaccine until February. What is his plan to speed that up? We want everyone to be able to enjoy Christmas this year, but to make that happen the Government need to bring forward those common-sense measures that can limit the spread of the new variant while having a minimal impact on our lives, jobs and businesses, especially in the busy pre-Christmas trading period I was pleased to see the Secretary of State and his right hon. Friend the Home Secretary accept Labour’s call for the reintroduction of pre-departure tests for those travelling to the UK but, given the likelihood of new variants, will the Government now introduce as a standard response to new variants overseas stronger border controls, testing and contact tracing, so that they are not again accused of locking the door after the horse has bolted? Can the Secretary of State explain why the window for pre-departure tests is 48 hours and not less? Can he act with his colleagues in Government to address the racket of soaring testing costs and poor provision of hotel quarantine accommodation A year ago, the Scientific Advisory Group for Emergencies recommended ventilation support for schools. The Government’s pilot of air purifiers in schools is not due to publish its full report until October next year. Meanwhile, a primary school in Paisley has today shut for a week following a suspected omicron outbreak. In the past two weeks, the number of students missing school has increased by 62%, meaning disruption to their learning and an impact on parents as they have to stay home with their children. Children have seen their education disrupted enough, so will the Secretary of State now roll out the ventilation support needed to protect our schools We have one of the lowest levels of sick pay in Europe. Workers in low-paid and insecure employment who contract covid are still being put in the impossible position of choosing between going to work and feeding their family on the one hand, and staying at home and protecting our public health on the other. Will the Government finally look again at increasing and expanding sick pay Finally—I am sorry to have to end on this note—I am sure the Secretary of State will agree that the effectiveness of the Government’s response to the pandemic and public compliance with the rules will depend on public confidence in those setting the rules. Residents in Ilford are this week being prosecuted for holding an indoor gathering of two or more people on 18 December 2020, and rightly so. Is it not time that the Government come clean about the event in Downing Street on that same day, admit they broke the rules and apologise? Or does the Secretary of State believe, as the Prime Minister appears to, that it is one rule for them and another rule for everyone else?"
0,ParlaMint-GB_2021-02-04-commons.u251,LAB,1.0,2021-02-04,0.5358887314796448,"Thank you, Madam Deputy Speaker. I am grateful to the Minister for advance sight of his statement and for his kind words about my birthday. Of course, the gladdest tidings is the news that more than 10 million people have received their first dose. Once again, our incredible national health service has delivered for us. I visited a site in Nottingham earlier in the week, and that team of the NHS, armed forces, local councils, volunteers and many more coming together was an uplifting and incredible sight We welcome today’s announcement about the new clinical trial. It is clear that we will live with covid-19 and its mutations for a long time, so this is the best way to get out in front of it. We were glad also to hear the study results regarding the Oxford-AstraZeneca vaccine reducing transmission and maintaining protection over 12 weeks. As the Minister said, it is clear that vaccines are the way out of this pandemic. Daily cases are beginning to fall, but it is vital that the Government do not repeat previous mistakes and take their foot off the gas just as things look to be getting better. Could the Minister update us on whether he expects similar trial data to be published for the Pfizer vaccine The Government seem to be on track to deliver on their promise of vaccinating the top four Joint Committee on Vaccination and Immunisation priority groups by the middle of this month. We really welcome that, and I commend the Minister’s work in that regard, but in a spirit of co-operation, I need to press him on a couple of points about what comes next First, regarding data, we are all concerned about the reports of lagging take-up among black, Asian and minority ethnic communities, as well as poorer communities, and I associate myself with the comments about the brilliant work done by our colleagues to fight that. We know that these groups have been worst affected by the pandemic, and we need them to take up the vaccine, but I am conscious that much of what we hear is based on anecdotal stories, rather than hard data at a community level, split by ethnicity. Can the Minister say what data he has on that and when colleagues can get council ward-level data, so that we can all be part of the effort to drive up take-up? As the first phase is coming to an end, can the Minister update us on the number of care home staff who have received their first dose and perhaps what the plan is to encourage those who have not done so to take it up on reflection When we get to the beginning of April, those who have had their first dose will be expecting and needing their second one. Can the Minister give an assurance that there will be enough supply to ensure that everyone who is due their second dose gets it, as well as, obviously, to manage those who are due their first? The Foreign Secretary would not offer that commitment on behalf of the Government recently. I hope the Vaccine Minister will be able to. Colleagues have raised with me the fact that constituents who have received a national letter and called 119 to book are not routinely being offered local primary care network-based options. Can the Minister confirm that that should not be the case and that he would welcome hearing examples of where that is happening so that we can change it The Opposition fully supported the Government in prioritising those at greatest risk of dying—those in the first four categories—but as we move to categories 5 to 9, it is reasonable to ask the JCVI about including key workers. Data has shown that those who work closely with others and are regularly exposed to covid-19 have higher death rates than the rest of the population. By prioritising those workers alongside the over-50s and 60s, and people with underlying health conditions, we can reduce transmission further, protect more people and keep the vital services that they provide running smoothly, which includes reopening schools. Putting the politics of this to one side, we raised this suggestion over a week ago now. Will the Minister say whether he has had those conversations with the JCVI, or whether he will at least commit to asking it to look at how that suggestion might work It is HIV Testing Week. Those living with HIV are in category 6. If their doctor knows their HIV status, they will have their opportunity as planned. However, some choose, perfectly legitimately and for some profoundly important reasons, to access their healthcare through other means, such as an HIV clinic. Their doctor might therefore not know their status and they may well be missed. In this specific case, will the Minister commit to looking at a possible workaround? Allowing HIV clinics to connect those individuals directly would be one way, but we would support any effective way of doing that Finally, given that it is World Cancer Day, what consideration has the Minister given to vaccinating household members of the clinically extremely vulnerable, to give another layer of protection to blood cancer patients and other CEV people, an argument strongly supported by the reports that transmission is reduced by these vaccinations To conclude, this programme really is the light at the end of the tunnel. Our NHS has delivered, and we must support it to continue to do so by making the right policy decisions."
0,ParlaMint-GB_2020-03-11-commons.u74,LAB,1.0,2020-03-11,0.10193522274494171,"Our thoughts are with the loved ones of those who have sadly died after contracting the coronavirus, and those who are still suffering from the disease, including the hon. Member for Mid Bedfordshire (Ms Dorries). I want once again to pay tribute to our medical staff, who are working so hard to combat the spread of this disease and care for those affected. I think we should all express our gratitude to the chief medical officer and the chief scientific adviser, who have shown exceptional leadership throughout, and we will continue to follow their advice Sunday was International Women’s Day—a day when we celebrate the achievements of women around the world, recognise the advances made in working towards a goal of gender equality and, most importantly, reflect on how far we have to go to achieve that. A quarter of social care workers, who are overwhelmingly women, are on zero-hours contracts. It is essential that care workers self-isolate if they experience symptoms of coronavirus, but many may feel they have no choice but to continue working. Will the Prime Minister finally bring in emergency legislation to guarantee sick pay for zero-hours workers to help contain the spread of the virus?"
0,ParlaMint-GB_2021-09-08-commons.u50,LAB,-1.0,2021-09-08,0.19143235683441162,"Throughout the pandemic, one of the most dangerous impacts has been not just that of the virus itself, but the impact it has had on our NHS in preventing life-saving operations from taking place. In Scotland, the situation has been made even worse through the Scottish SNP Government’s under-investment in the NHS, with over 450,000 people languishing on waiting lists prior to the pandemic, and that figure has now risen to more than 600,000. Will the Minister work to ensure that the covid public inquiry in Scotland will look into other aspects of the NHS?"
