topic,CON,LAB,LAB;I,OTHER,SNP
0,0.10187187292079548,-0.34845973582026213,-0.2164306640625,-0.29193050456496905,-0.3297728648227928
1,0.25289681025913785,-0.3353807772543095,-0.29248046875,-0.14229690894651947,-0.19150865581673635
2,0.3888897131819751,0.3373222126680262,0.0,0.2984423828125,0.250005409934304
3,-0.012919548774561557,-0.47444252665706244,-0.947265625,-0.2524542178747789,-0.42122946287456314
4,0.24362214006386795,-0.2816027579855184,0.0,-0.298602294921875,0.09878262606534091
5,0.12008541114853181,-0.2795685823722805,0.0,-0.06406480438855229,0.03623562171810963
6,0.1294907723703692,-0.44248404278851194,0.0,-0.21853201729910715,-0.4452172738534433
7,-0.012341181437174479,-0.23371002130341112,0.0,-0.31638022114459735,-0.4505615234375
8,0.2404805979597459,-0.4500417864000475,0.0,-0.2648251620205966,-0.3788905552455357
9,0.24838757247857327,-0.07736067744026408,0.0,-0.07199229364809782,0.36794809194711536
