topic,keywords,tc.Fidesz-KDNP,tc.Opposition,tc.OTHER,pf.Fidesz-KDNP,pf.Opposition,pf.OTHER,s.Fidesz-KDNP,s.Opposition,s.OTHER
0,"['magyarország', 'koronavírus', 'elnök', 'kormánypártok', 'taps', 'gazdasági', 'baloldal', 'egészségügyi', 'szeretném', 'tudjuk']",52.7,11.2,36.1,31.3,18.0,24.1,-0.15,-0.48,-0.4
1,"['magyar', 'tisztelt', 'ellenzéki', 'tudja', 'fog', 'képviselőtársam', 'szeretném', 'európai', 'javaslat', 'országgyűlés']",37.0,19.8,43.1,20.4,29.6,26.7,-0.24,-0.5,-0.46
2,"['sürgősségi', 'tisztelt', 'kórházat', 'marcali', 'elnök', 'millió', 'taps', 'egynapos', 'sebészeti', 'aktív']",42.3,17.9,39.8,11.9,13.6,12.6,-0.13,-0.65,-0.57
3,"['kormány', '2017', 'magyar', 'jövő', 'költségvetésben', 'szociális', 'millió', 'módosító', 'családi', 'gondolom']",34.7,20.4,44.9,7.3,11.6,10.6,0.12,-0.45,-0.44
4,"['tisztelt', 'magyar', 'egészségügyben', 'jobbik', 'elnök', '2010', 'asszony', 'forint', 'taps', 'milliárd']",52.0,17.5,30.5,11.1,10.2,7.3,-0.38,-0.59,-0.57
5,"['milliárd', 'egészségügyben', '2010', 'forintos', 'önsegélyező', 'alapellátás', 'egyébként', 'költségvetés', 'elnök', 'dolgozók']",56.6,18.8,24.7,8.7,7.8,4.3,-0.26,-0.5,-0.47
6,"['önkormányzat', 'élők', 'fejlesztési', 'szót', 'bizony', 'elnök', 'tisztelt', 'dél', 'modern', 'somogyi']",33.8,8.3,57.9,2.4,1.6,4.6,0.22,-0.17,-0.41
7,"['elnök', 'taps', 'egészségügyben', 'kormánypártok', 'légzőszervi', 'kérdés', 'soraiban', 'emberek', 'jobbik', 'magyarországon']",33.6,22.9,43.5,2.4,4.4,3.4,-0.57,-0.77,-0.72
8,"['környezetvédelmi', 'műanyag', 'program', 'biológiai', 'európai', 'emberi', 'veszélyes', 'globális', '2050', 'stratégiai']",38.6,7.1,54.3,2.6,1.3,4.1,0.07,-0.75,-0.61
9,"['2010', 'kormány', 'uniós', 'magyarország', 'nagyszülői', 'szegénységi', 'milliárd', 'egyébként', 'áruló', 'dr']",42.5,14.9,42.5,2.0,1.9,2.2,-0.35,-0.73,-0.67
