topic,keywords,tc.SDS,tc.SD,tc.OTHER,pf.SDS,pf.SD,pf.OTHER,s.SDS,s.SD,s.OTHER
0,"['danes', 'minister', 'mislim', 'vlade', 'zakon', 'imamo', 'rekel', 'tu', 'način', 'strani']",27.9,14.4,57.7,33.4,32.2,26.8,-0.59,-0.48,-0.56
1,"['19', 'epidemijo', 'cepljenje', 'ukrepi', 'širjenja', 'covida', 'času', 'opreme', 'hvala', 'vlade']",18.2,13.1,68.7,6.3,8.5,9.2,-0.25,-0.5,-0.43
2,"['čakalne', 'zdravstvenega', 'minister', 'danes', 'storitev', 'potem', 'sistema', 'hvala', 'javno', 'zavodov']",33.2,10.0,56.8,14.2,8.0,9.4,-0.56,-0.48,-0.57
3,"['vlade', 'danes', 'lahko', 'minister', 'slovenijo', 'veliko', 'ljudje', 'strani', 'predsednik', 'spoštovani']",27.8,12.2,60.0,8.0,6.6,6.7,-0.47,-0.38,-0.33
4,"['dejavnosti', 'zdravstvenega', 'zavarovanja', 'hvala', 'storitev', 'zakonu', 'dopolnilnega', 'čakalnih', 'predlog', 'zato']",18.8,13.1,68.1,7.3,9.5,10.3,-0.35,-0.3,-0.33
5,"['pokojninske', 'evrov', 'starejše', 'domovih', 'plače', 'socialno', 'delo', 'dolgotrajne', 'zavarovanja', 'invalidsko']",15.1,13.1,71.8,5.9,9.6,10.9,-0.33,-0.21,-0.34
6,"['šole', 'otroci', 'potrebami', 'istospolnih', 'zakona', 'šolah', 'vzgoje', 'zasebnih', 'ali', 'družini']",15.7,12.5,71.9,4.2,6.2,7.5,-0.37,-0.3,-0.18
7,"['azbestnih', 'gasilce', 'prometa', 'prometu', 'športa', 'bolezni', 'prostovoljnih', 'cevi', 'posledic', 'poklicnih']",17.8,20.9,61.4,4.3,9.5,5.8,-0.17,-0.34,-0.25
8,"['urgentnih', 'zdravstvenega', 'ministrica', 'sistem', 'ptuj', 'pravilnika', 'storitev', 'sloveniji', 'ukc', 'center']",33.7,9.7,56.6,10.0,5.4,6.5,-0.36,-0.47,-0.36
9,"['milijonov', 'evrov', 'investicije', 'sistem', 'zdravstva', 'hvala', 'storitev', 'zavarovanje', 'čakalnih', 'javni']",23.9,9.3,66.8,6.4,4.6,6.9,-0.46,-0.5,-0.5
