topic,OTHER,SD,SDS,keywords
0,41.3,36.1,42.5,"['zdravil', 'hvala', 'zdravstva', 'storitev', 'sistem', 'bo', 'tem', 'zavarovanje', 'zakon', 'so']"
1,19.2,23.9,23.1,"['sem', 'potem', 'tem', 'danes', 'samo', 'seveda', 'so', 'vse', 'bo', 'bil']"
2,7.2,8.1,4.4,"['19', 'epidemijo', 'cepljenje', 'vlada', 'širjenja', '2020', 'času', 'hvala', 'covida', 'opreme']"
3,6.4,5.2,4.0,"['šole', 'potrebami', 'posebnimi', 'otroci', 'družine', 'univerze', 'zakona', 'šolah', 'zasebnih', 'hvala']"
4,4.5,4.6,5.2,"['evropske', 'unije', 'tem', 'bo', 'države', 'bomo', 'vlada', 'so', 'slovenijo', 'danes']"
5,5.3,5.4,6.0,"['evrov', 'rast', 'milijonov', '2007', 'bo', 'slovenija', 'proizvoda', 'proračunov', 'višini', 'državnega']"
6,5.0,4.3,3.9,"['bo', 'sloveniji', 'stranke', 'so', 'gre', 'tem', 'ki', 'sodišča', 'bomo', 'države']"
7,5.2,4.7,4.2,"['milijonov', 'letu', 'evrov', 'rast', 'rebalans', 'proračunov', 'bo', 'bomo', 'države', '2004']"
8,2.8,4.2,3.2,"['zapora', 'referendum', 'sankcij', 'sodnikov', 'državni', 'policija', 'bo', 'tem', 'lahko', 'pravosodju']"
9,3.0,3.5,3.5,"['poročilu', 'pravice', 'opozarja', 'priporočila', 'peticije', 'delo', 'vedno', 'nasilja', 'enake', 'tem']"
