topic,keywords,tc.фБПП.фЄС.фУДАР,tc.фОПЗЖ.фОпоблок.фПР,tc.OTHER,pf.фБПП.фЄС.фУДАР,pf.фОПЗЖ.фОпоблок.фПР,pf.OTHER,s.фБПП.фЄС.фУДАР,s.фОПЗЖ.фОпоблок.фПР,s.OTHER
0,"['коронавірус', 'лікарні', 'тестів', 'кисень', 'вакцинації', 'covid', 'пане', 'довіра', 'цифри', 'станції']",15.7,15.1,69.2,14.7,14.9,18.9,-0.83,-0.83,-0.67
1,"['економіки', 'пенсійний', 'стажу', 'українців', 'реформи', 'зростання', 'місяць', 'мінімальна', 'політика', 'радикальна']",12.1,15.7,72.1,9.2,12.6,16.0,-0.48,-0.6,-0.52
2,"['реформи', '49', 'опозиційний', 'нема', 'лікарень', 'міністерство', 'зору', 'районах', 'конституції', 'допомоги']",22.3,26.8,50.9,13.6,17.2,9.0,-0.29,-0.43,-0.46
3,"['волонтерської', 'хвилин', 'порядок', 'парламенту', 'плече', 'студенты', 'почему', 'економіка', 'коррупции', 'украинского']",20.7,26.4,52.9,9.8,13.2,7.3,-0.29,-0.68,-0.48
4,"['лікарні', 'допомоги', 'міністр', 'моз', 'місті', 'життя', 'українців', 'виборці', 'covid', '147']",13.1,16.2,70.7,7.1,9.2,11.1,-0.55,-0.56,-0.5
5,"['підтвердження', 'допомога', 'орган', '6604', 'страхування', 'плюралізм', 'пацієнта', 'фінансування', 'вторинної', 'здоров']",25.2,14.6,60.2,14.1,8.6,9.8,-0.33,-0.6,-0.23
6,"['історії', 'вы', 'україну', 'єдності', 'громадяни', 'рейтинги', 'пенсійної', 'реформи', 'виборів', 'довіри']",17.4,21.7,60.9,6.5,8.6,6.7,-0.34,-0.56,-0.36
7,"['мозку', 'кісткового', 'трансплантацію', 'кров', 'згоду', '2386а', 'перевезення', 'степанович', 'реєстр', 'печінки']",45.6,2.9,51.5,16.8,1.1,5.5,0.03,-0.88,-0.01
8,"['бюджету', 'зростання', 'освіту', 'бачимо', 'миллиарда', 'уряд', 'соціальні', 'спортивных', 'збалансований', 'медицину']",10.1,18.8,71.0,3.8,7.5,7.8,-0.19,-0.71,-0.43
9,"['сільськогосподарської', 'земля', 'референдум', 'молоко', 'продажу', 'іноземцям', 'олія', 'пальмова', 'корова', 'зусилля']",11.4,17.1,71.4,4.3,6.9,7.9,-0.4,-0.73,-0.42
