topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР,keywords
0,11.5,19.0,17.0,"['pfizer', 'вакцинувати', 'міністре', 'astrazeneca', 'населення', 'covid', 'запитання', 'брехня', 'країн', '6297']"
1,16.4,18.7,14.3,"['усиновлення', 'конвенції', 'відокремлення', 'голосування', 'підтримувати', 'рослин', 'валюті', 'законопроектів', 'порядку', 'кіно']"
2,9.6,8.7,19.2,"['почему', 'регламенту', 'порядок', 'подякувати', 'депутатів', 'пенсія', 'хвилин', 'плече', 'відставку', 'будет']"
3,10.6,14.7,4.0,"['допомога', 'підтвердження', 'телемедицина', 'цифрову', 'оплати', 'пляшку', 'коефіцієнтів', 'пацієнт', 'сільської', 'запобіжних']"
4,11.2,6.0,12.5,"['епідемія', 'коронавірус', 'антитіла', 'тестування', 'втратами', 'цифри', 'легень', '64', 'захворіло', 'омікрон']"
5,8.4,4.8,8.0,"['піклування', 'позбавлених', 'типа', 'інтернати', 'семьи', 'насильства', 'дитячих', 'сирітство', 'педофілів', 'аліментів']"
6,13.0,7.5,11.6,"['бюджету', 'зростання', 'боргу', 'соціальні', 'інфляції', 'сбу', 'миллиардов', 'реальним', 'пріоритети', 'голосуватиме']"
7,4.5,4.4,7.1,"['генератори', 'інформатизації', 'квитків', 'читання', 'фізіологічний', '2720', 'мораторіїв', 'гастролювати', 'провинились', 'кратність']"
8,5.5,11.9,2.7,"['підтвердження', 'клінічних', 'протоколі', '788', 'соцпослуг', 'робоча', 'відхилена', 'мавпи', 'бога', '1842']"
9,9.3,4.4,3.6,"['шахтарям', 'бездомні', 'довіра', 'голодують', 'байдужа', 'т2', 'казку', 'орджонікідзе', 'група', 'місті']"
