topic,CON,LAB,OTHER,SNP,keywords
0,20.1,17.2,20.8,23.7,"['syria', 'action', 'chemical', 'ground', 'turkish', 'ceasefire', 'civilians', 'raqqa', 'coalition', 'weapons']"
1,15.1,12.3,11.2,13.1,"['sanctions', 'ukrainians', 'invasion', 'nato', 'president', 'kremlin', 'eastern', 'missiles', 'zelensky', 'sovereign']"
2,15.3,18.5,24.0,10.9,"['nhs', 'social', 'testing', 'frontline', 'workers', 'coronavirus', '19', 'vaccination', 'bame', 'restrictions']"
3,10.3,5.2,5.8,7.7,"['royal', 'warships', 'odyssey', 'clyde', '26', 'patrol', 'auxiliary', 'yards', 'capability', 'solid']"
4,6.7,8.5,6.7,11.4,"['yemen', 'arms', 'ceasefire', 'sales', 'cluster', 'hodeidah', 'munitions', 'resolution', 'hadi', 'violations']"
5,9.4,6.5,7.0,6.7,"['capabilities', 'nato', 'review', 'expenditure', 'cyber', 'commitment', 'sdsr', 'target', 'aircraft', 'size']"
6,8.0,10.3,3.2,2.8,"['policing', 'frontline', 'knife', 'funding', 'emergency', 'midlands', 'precept', 'communities', 'commissioners', 'shop']"
7,6.0,6.0,6.1,9.2,"['constituency', 'maiden', 'leader', 'debate', 'constituents', 'east', 'david', 'speaker', 'years', 'hope']"
8,5.6,8.2,9.9,12.4,"['chancellor', 'credit', 'universal', 'billion', 'businesses', 'poverty', 'new', 'prices', 'fiscal', 'oil']"
9,3.6,7.3,5.4,2.1,"['burma', 'aung', 'cleansing', 'ethnic', 'rights', 'shan', 'bazar', 'humanitarian', 'repatriation', 'finding']"
