topic,OTHER,SD,SDS,keywords
0,26.2,30.4,33.6,"['mi', 'bom', 'minister', 'tem', 'seveda', 'bil', 'samo', 'vlade', 'vem', 'zdaj']"
1,11.5,11.4,8.2,"['zakon', 'mi', 'tem', 'bo', 'bom', 'potem', 'seveda', 'način', 'teh', 'zakaj']"
2,8.4,5.0,12.2,"['migrantov', 'meje', 'ljudi', 'države', 'unije', 'varnost', 'vse', 'slovenijo', 'evropi', 'seveda']"
3,9.7,12.3,5.8,"['pokojninskega', 'odbor', 'zakonodajno', 'vojaških', 'nasilja', 'vdovske', 'predloga', 'invalidskega', 'pravice', 'zavarovanje']"
4,8.7,7.6,8.8,"['tem', 'sloveniji', 'so', 'bomo', 'republike', 'sodišče', 'pravice', 'bo', 'ki', 'niso']"
5,9.3,6.4,5.3,"['milijonov', 'evrov', 'proračunu', 'rast', 'vlada', 'bo', 'javnih', 'investicije', 'bomo', '2022']"
6,7.6,7.4,13.0,"['komisije', 'korupcije', 'služb', 'poročila', 'bil', 'preiskavo', 'obveščevalnih', 'so', 'tem', 'vlade']"
7,8.1,10.2,5.1,"['slovenske', 'vojska', 'pripadnikov', 'operacijah', 'zakona', 'poklic', '45', 'sestave', 'sistem', 'misije']"
8,3.1,4.4,3.5,"['ministra', 'vlade', 'predsednik', 'bil', 'danes', 'gospod', 'ta', 'bom', 'stranke', 'so']"
9,7.5,5.0,4.5,"['slovenija', 'evropski', 'pogodbe', 'unija', 'eu', 'zunanje', 'državami', 'natu', 'deklaracije', 'članstvo']"
