topic,keywords,tc.фБПП.фЄС.фУДАР,tc.фОПЗЖ.фОпоблок.фПР,tc.OTHER,pf.фБПП.фЄС.фУДАР,pf.фОПЗЖ.фОпоблок.фПР,pf.OTHER,s.фБПП.фЄС.фУДАР,s.фОПЗЖ.фОпоблок.фПР,s.OTHER
0,"['пам', 'українці', 'слава', 'народу', 'держави', 'війну', 'партія', 'росія', 'влада', 'президента']",19.6,5.6,74.9,21.4,19.2,27.2,-0.58,-0.56,-0.62
1,"['федерації', 'україна', 'асамблеї', 'угоди', 'парламент', 'країни', 'хочу', 'законопроект', 'проект', 'питання']",22.8,5.6,71.6,17.8,13.8,18.5,-0.14,-0.19,-0.11
2,"['виборів', 'рішення', 'парламенті', 'президента', 'країни', 'законів', 'українського', 'колеги', 'громадян', 'хочу']",15.5,18.7,65.8,6.1,23.2,8.6,-0.33,-0.61,-0.5
3,"['зброї', 'національної', 'україни', 'гвардії', 'змін', 'законопроекту', 'основу', 'комітет', 'служби', 'читання']",26.0,5.1,68.9,13.8,8.5,12.1,-0.17,-0.48,-0.1
4,"['бюджету', 'гроші', 'збільшення', '2023', 'уряд', 'міністерство', 'мільярди', 'війни', 'наступний', 'дороги']",31.5,7.7,60.9,11.1,8.5,7.1,-0.43,-0.22,-0.33
5,"['народу', 'українці', 'незалежності', 'подякувати', 'хочу', 'криму', 'днем', 'життя', 'перемогу', 'травня']",31.7,7.4,60.8,8.5,6.2,5.4,0.02,-0.01,0.15
6,"['батьківщина', 'україни', 'війни', 'хочу', 'голосувати', 'першому', 'президента', 'законопроекти', 'питань', 'інвалідів']",20.5,5.4,74.1,4.8,4.0,5.8,-0.2,-0.7,-0.29
7,"['контракти', 'питання', 'місяців', 'людей', 'законопроект', 'давайте', 'можливість', 'хлопці', 'військової', 'перше']",20.5,9.0,70.5,4.5,6.2,5.2,-0.35,-0.48,-0.32
8,"['законопроекту', 'читання', 'колеги', 'голосувати', 'порядку', 'питання', 'абсолютно', 'основу', 'рішення', 'війни']",28.4,11.1,60.5,6.5,8.0,4.6,-0.32,-0.29,-0.34
9,"['прокурора', 'розслідування', 'спецоперації', 'генерального', 'набу', 'віталійович', 'комісію', 'питання', 'корупцією', 'суді']",24.1,3.2,72.8,5.4,2.2,5.4,-0.71,-0.51,-0.61
