topic,OTHER,фБПП.фЄС.фУДАР,фОПЗЖ.фОпоблок.фПР,keywords
0,13.6,15.4,17.0,"['бюджету', 'уряд', 'мільярди', '2023', 'зростання', 'зарплати', 'війни', 'оборони', 'ввп', 'міністерство']"
1,10.5,14.0,8.5,"['народу', 'голодомору', 'геноциду', 'слава', 'українці', 'подякувати', '1933', 'травня', 'незалежності', 'хочу']"
2,10.4,11.7,14.8,"['читання', 'законопроекту', 'голосувати', 'колеги', 'питання', 'основу', 'абсолютно', 'порядку', 'уряду', 'друге']"
3,9.9,9.1,8.0,"['партії', 'розслідування', 'президента', 'влада', 'свобода', 'місті', 'радикальна', 'українці', 'зеленського', 'хочу']"
4,10.0,6.1,4.5,"['росія', 'війну', 'федерація', 'незалежність', 'маємо', 'народ', 'агресії', 'країни', 'сили', 'українці']"
5,14.3,13.2,4.0,"['республіки', 'прав', 'росії', 'міжнародних', 'автономної', 'окупованих', 'парламентів', 'засіданні', 'санкцій', 'виборів']"
6,10.8,7.7,23.9,"['парламенті', 'виборів', 'українського', 'закони', 'питання', 'працювати', 'країни', 'президента', 'громадян', 'голосів']"
7,11.2,12.1,2.8,"['національної', 'змін', 'безпеки', 'україни', 'комітет', 'основу', 'законопроекту', 'читання', 'служби', 'кримінального']"
8,4.4,5.3,12.5,"['ветеранів', 'мы', 'социальной', 'війни', 'семьи', 'погибших', 'законопроект', 'інвалідами', 'підтримати', 'захисту']"
9,4.8,5.3,4.0,"['приватизації', 'приватизацію', 'власності', 'стратегічні', 'банку', 'продаж', 'закон', 'сховища', 'війни', 'переліку']"
